customer_id,order_number,delivery_date,delivery_week,final_payment_status,time_to_pay,payment_method,custom_meal_selection,state,channel,engagement_score,num_prior_orders_failed,num_prior_orders_unpaid,avg_recipe_rating
1516,15306,20200201,2020-W06,Paid,1,Z,Yes,B,S,10,4,0,
1522,5177,20200203,2020-W06,Paid,3,V,Yes,B,D,1,0,0,
1525,15772,20200203,2020-W06,Paid,5,W,Yes,F,S,16,1,0,
1536,20325,20200202,2020-W06,Paid,5,W,Yes,B,F2,123,13,0,
1547,2082,20200203,2020-W06,Paid,5,Z,Yes,D,P,58,25,3,
1548,15235,20200201,2020-W06,Cancelled,,X,Unknown,E,O,1,0,0,
1556,4884,20200203,2020-W06,Paid,64,Z,Yes,D,A2,101,36,0,
1557,17998,20200201,2020-W06,Paid,1,Z,Yes,E,F2,5,1,0,
1564,2430,20200201,2020-W06,Unpaid,,W,No,D,F1,1,1,1,
1568,12014,20200202,2020-W06,Paid,1,X,Yes,B,D,16,0,0,
1569,15125,20200202,2020-W06,Paid,5,Z,Yes,D,O,1,0,0,3.67
1578,8547,20200201,2020-W06,Paid,168,Z,No,B,D,3,1,1,
1581,20620,20200201,2020-W06,Unpaid,,Z,Yes,F,F2,3,4,3,2.00
1582,15863,20200201,2020-W06,Paid,212,Z,No,B,D,6,0,0,
1583,24664,20200202,2020-W06,Paid,5,W,No,F,F1,29,3,0,
1591,3485,20200203,2020-W06,Paid,5,W,No,B,F2,22,4,1,3.00
1592,18660,20200203,2020-W06,Paid,528,Z,No,D,F2,43,31,4,2.60
1593,7317,20200203,2020-W06,Paid,2,X,Yes,D,O,132,14,1,
1596,14589,20200202,2020-W06,Paid,1,W,Yes,F,O,12,2,0,
1598,9724,20200203,2020-W06,Paid,1,Z,Yes,B,S,7,0,0,
1603,20079,20200203,2020-W06,Paid,23,V,Yes,F,F1,26,0,0,
1604,329,20200203,2020-W06,Paid,29,Z,Yes,B,F1,73,5,1,
1607,16595,20200203,2020-W06,Paid,74,W,Yes,B,E,81,16,1,
1610,11396,20200203,2020-W06,Paid,2,W,Yes,F,O,40,7,0,4.00
1613,2651,20200203,2020-W06,Paid,90,V,No,E,D,0,0,0,
1622,12309,20200201,2020-W06,Cancelled,,X,Unknown,E,O,2,0,0,
1627,17214,20200202,2020-W06,Paid,29,Z,No,D,I,10,3,0,
1635,4848,20200201,2020-W06,Paid,5,Z,Yes,B,F3,115,49,1,3.53
1646,8457,20200203,2020-W06,Paid,15,Z,No,B,D,34,6,1,
1654,8892,20200203,2020-W06,Paid,5,Z,No,B,F2,86,2,1,4.00
1663,10976,20200203,2020-W06,Paid,5,Z,No,A,D,14,5,1,
1668,13876,20200203,2020-W06,Paid,15,Z,Yes,B,O,132,12,4,
1675,20892,20200203,2020-W06,Paid,5,Z,No,B,F2,31,3,0,
1681,11755,20200203,2020-W06,Paid,12,Z,No,D,F2,153,4,0,
1685,11385,20200201,2020-W06,Paid,15,Z,Yes,B,A2,34,1,1,
1691,4183,20200201,2020-W06,Paid,5,Z,Yes,A,F2,14,8,1,
1709,698,20200203,2020-W06,Paid,2,W,Yes,F,O,3,0,0,
1711,4851,20200203,2020-W06,Paid,1,Z,Yes,F,F2,96,0,0,
1716,17923,20200201,2020-W06,Paid,1,W,No,B,F2,2,0,0,
1717,21019,20200202,2020-W06,Paid,5,W,Yes,E,H,77,13,0,
1724,7525,20200203,2020-W06,Paid,5,Z,Yes,B,O,104,5,0,3.14
1733,4800,20200203,2020-W06,Cancelled,,X,Unknown,F,F3,33,2,0,
1734,21216,20200202,2020-W06,Paid,1,Z,Yes,F,O,53,7,0,
1742,12249,20200201,2020-W06,Paid,6,Z,No,F,H,1,0,0,2.00
1749,5642,20200201,2020-W06,Paid,12,X,No,D,A2,15,4,0,
1754,4438,20200201,2020-W06,Cancelled,,X,Unknown,B,A2,4,0,0,
1758,17452,20200201,2020-W06,Paid,2,Z,Yes,D,H,1,2,0,
1766,23633,20200203,2020-W06,Paid,5,W,Yes,B,A1,7,3,0,
1771,19914,20200202,2020-W06,Paid,5,Z,Yes,E,A1,50,29,0,3.00
1774,6758,20200203,2020-W06,Paid,1,X,Yes,D,D,128,1,0,3.75
1783,17696,20200203,2020-W06,Paid,1,W,No,D,D,17,0,0,
1785,2817,20200201,2020-W06,Paid,2,W,Yes,B,F3,13,12,1,
1788,19974,20200201,2020-W06,Paid,5,W,No,A,I,21,6,1,
1793,11868,20200201,2020-W06,Paid,19,X,Yes,E,H,72,9,1,3.50
